pupil;class;extrav;sex;texp;popular
1;1;5;1;24;6,3
2;1;7;0;24;4,9
3;1;4;1;24;5,3
4;1;3;1;24;4,7
5;1;5;1;24;6
6;1;4;0;24;4,7
7;1;5;0;24;5,9
8;1;4;0;24;4,2
9;1;5;0;24;5,2
10;1;5;0;24;3,9
11;1;5;1;24;5,7
12;1;5;1;24;4,8
13;1;5;0;24;5
14;1;5;1;24;5,5
15;1;5;1;24;6
16;1;6;1;24;5,7
17;1;4;0;24;3,2
18;1;4;0;24;3,1
19;1;7;1;24;6,6
20;1;4;0;24;4,8
1;2;8;1;14;6,4
2;2;4;0;14;2,4
3;2;6;0;14;3,7
4;2;5;1;14;4,4
5;2;5;1;14;4,3
6;2;5;0;14;4
7;2;4;1;14;3,8
8;2;5;0;14;4,2
9;2;6;1;14;5,1
10;2;4;1;14;4,1
11;2;6;1;14;4,6
12;2;4;0;14;4,9
13;2;4;0;14;3,1
14;2;3;0;14;3,2
15;2;6;0;14;4,4
16;2;5;1;14;3,7
17;2;5;1;14;6,1
18;2;3;1;14;3,5
19;2;4;0;14;2,9
20;2;5;0;14;3,3
1;3;5;0;13;4,2
2;3;5;1;13;6
3;3;4;1;13;4,6
4;3;4;1;13;4,9
5;3;6;0;13;4,7
6;3;5;1;13;4,8
7;3;5;0;13;2,8
8;3;7;1;13;6,7
9;3;4;1;13;4,9
10;3;7;1;13;6,3
11;3;6;1;13;5,6
12;3;4;1;13;3,1
13;3;5;1;13;3,5
14;3;4;1;13;4,7
15;3;6;0;13;4,3
16;3;7;0;13;4,9
17;3;6;1;13;5,9
18;3;4;0;13;2,6
1;4;3;1;20;4,1
2;4;2;1;20;5,3
3;4;5;1;20;6,1
4;4;6;1;20;6
5;4;6;1;20;6,3
6;4;3;0;20;4
7;4;6;0;20;5,3
8;4;4;0;20;5,6
9;4;5;0;20;5,2
10;4;6;1;20;6,2
11;4;6;0;20;6,1
12;4;4;0;20;3,9
13;4;3;0;20;4,8
14;4;5;0;20;5,8
15;4;6;0;20;4,9
16;4;5;1;20;6,6
17;4;4;1;20;5,6
18;4;5;0;20;4,5
19;4;4;0;20;5,4
20;4;6;0;20;4,9
21;4;4;0;20;5,4
22;4;5;1;20;6,7
23;4;7;0;20;6,3
1;5;7;0;5;4,2
2;5;4;1;5;4
3;5;5;0;5;4,7
4;5;4;1;5;4,7
5;5;6;0;5;5,2
6;5;7;0;5;5,8
7;5;6;0;5;4,4
8;5;4;1;5;3,8
9;5;6;1;5;5,9
10;5;8;0;5;7
11;5;7;1;5;7,3
12;5;6;1;5;5,6
13;5;7;0;5;5,6
14;5;6;1;5;6,3
15;5;6;0;5;4,2
16;5;5;1;5;4,6
17;5;6;1;5;6,1
18;5;6;0;5;5
19;5;6;1;5;5,8
20;5;5;0;5;5,5
21;5;6;0;5;5,3
1;6;4;0;8;4,1
2;6;6;1;8;5,8
3;6;5;1;8;4,2
4;6;5;1;8;3,9
5;6;4;1;8;5
6;6;4;1;8;4,4
7;6;6;0;8;4,3
8;6;5;0;8;3,3
9;6;4;1;8;3,1
10;6;7;1;8;6,4
11;6;5;0;8;3,5
12;6;6;1;8;5,9
13;6;5;1;8;4,2
14;6;3;0;8;3,5
15;6;4;1;8;4,6
16;6;6;0;8;5,1
17;6;5;0;8;4,2
18;6;7;0;8;4,9
19;6;5;0;8;3,6
20;6;4;0;8;2,7
1;7;6;1;17;5,8
2;7;4;1;17;4,8
3;7;4;0;17;4,4
4;7;4;0;17;1,7
5;7;4;0;17;3,6
6;7;5;1;17;3,8
7;7;4;0;17;4,1
8;7;5;1;17;5,7
9;7;6;0;17;2,9
10;7;5;1;17;4,9
11;7;5;0;17;5,1
12;7;6;0;17;4
13;7;4;0;17;3
14;7;4;1;17;4,7
15;7;7;0;17;2,8
16;7;5;0;17;3,7
17;7;6;1;17;5,1
18;7;5;0;17;3,5
19;7;5;1;17;4,7
20;7;7;1;17;6
21;7;5;0;17;4
1;8;6;1;12;6,1
2;8;5;0;12;3,2
3;8;4;1;12;3,3
4;8;7;1;12;5
5;8;6;0;12;4,2
6;8;7;1;12;5,6
7;8;6;0;12;3,9
8;8;5;1;12;4,5
9;8;6;0;12;2,2
10;8;5;1;12;4,2
11;8;4;0;12;1,5
12;8;5;0;12;3,2
13;8;5;0;12;2,7
14;8;5;1;12;4,1
15;8;7;0;12;4,8
16;8;5;0;12;3,5
17;8;5;1;12;3,6
18;8;7;1;12;5,5
19;8;6;1;12;4,8
20;8;5;1;12;3,5
1;9;6;0;9;5,2
2;9;5;1;9;6
3;9;5;1;9;5,1
4;9;6;1;9;5,3
5;9;6;1;9;6,7
6;9;5;0;9;3,6
7;9;5;0;9;3,5
8;9;5;0;9;3,9
9;9;5;0;9;4,3
10;9;5;0;9;4
11;9;3;0;9;4,6
12;9;4;1;9;4,5
13;9;4;0;9;3,6
14;9;5;0;9;2,6
15;9;4;0;9;3,9
16;9;6;0;9;5
17;9;6;1;9;4,5
18;9;7;1;9;7,3
19;9;6;1;9;6,7
20;9;4;0;9;2,9
1;10;5;0;21;5,4
2;10;6;1;21;6,3
3;10;5;0;21;3,4
4;10;4;1;21;4,9
5;10;5;0;21;5,1
6;10;6;1;21;7
7;10;5;0;21;5,4
8;10;5;0;21;4,9
9;10;6;1;21;6,6
10;10;5;1;21;5,8
11;10;6;0;21;4,4
12;10;6;0;21;4,9
13;10;7;1;21;6
14;10;6;0;21;4,8
15;10;3;0;21;3,6
16;10;5;0;21;5
17;10;3;0;21;5,5
18;10;6;0;21;5
19;10;3;1;21;5,2
20;10;6;1;21;5,4
21;10;4;1;21;6
22;10;6;1;21;5,7
23;10;4;1;21;6,1
24;10;5;1;21;5,2
1;11;4;0;11;4,7
2;11;5;1;11;5,5
3;11;5;1;11;4,8
4;11;6;0;11;4,9
5;11;5;0;11;4,6
6;11;6;1;11;4,6
7;11;5;0;11;3,4
8;11;7;1;11;5,6
9;11;4;1;11;5,4
10;11;5;1;11;5,6
11;11;6;0;11;3,2
12;11;6;0;11;5,1
13;11;6;0;11;4,4
14;11;6;1;11;4,8
15;11;4;1;11;4,2
16;11;5;0;11;4,3
17;11;5;0;11;4,2
18;11;6;0;11;4
19;11;4;0;11;1,6
20;11;5;1;11;4,9
21;11;5;1;11;3,8
22;11;4;0;11;4,1
1;12;5;0;16;3,7
2;12;4;1;16;4,8
3;12;2;1;16;4,2
4;12;7;1;16;5,7
5;12;4;1;16;4,6
6;12;3;0;16;3,8
7;12;4;0;16;2,8
8;12;6;0;16;4,7
9;12;5;1;16;5,6
10;12;3;1;16;2,8
11;12;4;0;16;3,8
12;12;3;0;16;2,4
13;12;4;1;16;5,3
14;12;4;0;16;3,5
15;12;4;0;16;4,5
16;12;5;0;16;4,5
17;12;6;0;16;4,5
2;13;4;1;19;6,5
3;13;4;1;19;6,4
4;13;6;0;19;6,2
5;13;6;0;19;6,1
6;13;5;1;19;5,6
7;13;4;1;19;6,3
8;13;6;0;19;6,2
9;13;6;1;19;6,2
10;13;6;0;19;5,7
11;13;7;0;19;5,9
12;13;3;1;19;5
13;13;4;1;19;6,1
14;13;4;0;19;4,5
15;13;6;1;19;7,2
16;13;6;0;19;6,3
17;13;4;0;19;4,8
18;13;7;1;19;8
19;13;5;1;19;6
20;13;5;1;19;7,7
21;13;4;1;19;6,1
1;14;7;0;2;3
2;14;6;0;2;3,3
3;14;9;0;2;5,3
4;14;7;0;2;3,2
5;14;6;0;2;3,6
6;14;8;0;2;4,5
7;14;5;0;2;1,4
8;14;6;0;2;2,3
9;14;6;0;2;2,8
10;14;8;0;2;4,5
11;14;7;0;2;3,9
12;14;7;0;2;4,5
13;14;7;0;2;3,1
14;14;7;0;2;4,5
15;14;6;0;2;2,3
16;14;8;0;2;6,5
17;14;6;0;2;3,1
1;15;5;0;8;4,2
2;15;5;0;8;3,4
3;15;4;0;8;4
4;15;4;0;8;3,1
5;15;7;0;8;6,3
6;15;6;1;8;4,4
7;15;6;1;8;5,5
8;15;8;1;8;7,9
9;15;5;0;8;2,9
10;15;8;0;8;6,4
11;15;5;1;8;5,1
12;15;7;0;8;4,3
13;15;6;0;8;4,3
14;15;5;1;8;5,8
15;15;6;0;8;4,5
16;15;5;1;8;4,5
17;15;6;0;8;6
18;15;6;1;8;5,6
19;15;6;0;8;4,7
20;15;4;1;8;4,5
21;15;3;0;8;4,3
22;15;5;0;8;3,2
23;15;5;0;8;5
24;15;4;0;8;2,9
1;16;5;1;11;4,2
2;16;6;1;11;5,6
3;16;5;1;11;4,5
4;16;7;1;11;6,3
5;16;5;1;11;5,1
6;16;5;0;11;2,8
7;16;6;1;11;6,3
8;16;8;0;11;3,1
9;16;5;1;11;5,4
10;16;6;1;11;4,7
11;16;8;1;11;6,5
12;16;6;1;11;4,5
13;16;7;1;11;6,8
14;16;5;0;11;2,9
15;16;4;1;11;5,1
16;16;6;1;11;4,2
17;16;6;1;11;5,1
1;17;4;0;16;3,7
2;17;3;1;16;5,2
3;17;6;0;16;6,3
4;17;5;0;16;3,9
5;17;3;1;16;5,3
6;17;5;0;16;3,7
7;17;6;1;16;5,8
8;17;4;1;16;4,6
9;17;5;1;16;5,9
10;17;5;1;16;5,8
11;17;6;1;16;6,6
12;17;4;0;16;3,7
13;17;6;0;16;5,8
14;17;6;1;16;6,2
15;17;6;0;16;4,8
16;17;6;1;16;7
17;17;3;1;16;5,4
18;17;5;1;16;7
19;17;4;0;16;3,3
20;17;7;1;16;6,7
21;17;5;1;16;5,6
22;17;4;0;16;3,5
23;17;4;0;16;3,6
24;17;4;0;16;5,1
25;17;5;0;16;3,7
26;17;4;0;16;5,3
1;18;7;0;21;6,1
2;18;5;1;21;7,8
3;18;4;0;21;4,8
4;18;5;0;21;6,7
5;18;5;0;21;5,1
6;18;4;1;21;6,8
7;18;5;0;21;7,1
8;18;3;1;21;6,7
9;18;5;0;21;5,6
10;18;4;1;21;5,1
11;18;5;0;21;4,8
12;18;6;1;21;6,7
13;18;5;0;21;6,7
14;18;4;0;21;6,9
15;18;5;1;21;7,9
16;18;5;0;21;6,6
17;18;6;0;21;6,9
18;18;5;1;21;5,7
19;18;4;1;21;4,4
20;18;3;1;21;5,7
21;18;5;0;21;6
1;19;8;1;16;7,1
2;19;4;0;16;5,4
3;19;5;0;16;6,2
4;19;5;1;16;7,1
5;19;5;0;16;4,4
6;19;3;0;16;3,2
7;19;5;0;16;5,6
8;19;4;1;16;6,2
9;19;5;0;16;4,5
10;19;4;1;16;5,9
11;19;6;1;16;5,9
12;19;4;0;16;3,7
14;19;6;1;16;7,1
15;19;5;1;16;5,6
16;19;3;0;16;5
17;19;5;1;16;5,9
18;19;4;1;16;4,8
19;19;5;0;16;5,7
20;19;3;1;16;6,8
21;19;4;0;16;4
1;20;5;1;10;6
2;20;7;1;10;6,5
3;20;5;1;10;5,9
4;20;4;1;10;5,1
5;20;5;1;10;5,8
6;20;6;1;10;6,9
7;20;8;1;10;7,2
8;20;5;0;10;3,3
9;20;5;1;10;6,6
10;20;4;0;10;2,7
11;20;4;0;10;3,1
12;20;6;1;10;5,7
13;20;7;0;10;5,6
14;20;4;1;10;6,3
15;20;6;1;10;5,9
17;20;5;0;10;2,9
18;20;6;1;10;6,3
19;20;5;1;10;5,7
20;20;6;1;10;6,3
21;20;5;0;10;4,2
1;21;5;1;17;5,4
2;21;5;1;17;5,7
3;21;5;1;17;4,2
4;21;4;1;17;3,5
5;21;7;0;17;4,6
6;21;5;0;17;4,1
7;21;5;0;17;4,2
8;21;4;1;17;4,6
9;21;6;0;17;4
10;21;3;0;17;4,5
11;21;6;1;17;4,9
12;21;6;0;17;5,3
13;21;4;0;17;3,7
14;21;4;0;17;3,8
15;21;5;1;17;5,8
16;21;4;0;17;3,7
17;21;5;0;17;5,4
18;21;4;1;17;6,7
19;21;3;1;17;4,7
20;21;6;1;17;6
21;21;4;1;17;6,3
22;21;5;1;17;5
23;21;6;1;17;5,1
1;22;3;1;11;5,7
2;22;2;1;11;5,8
3;22;6;1;11;7,6
4;22;6;1;11;7,8
5;22;5;0;11;5,4
6;22;4;0;11;5,7
7;22;4;0;11;6,3
8;22;6;1;11;6,7
9;22;4;1;11;7
10;22;5;0;11;5,6
11;22;5;0;11;5,5
12;22;6;0;11;5,4
13;22;6;1;11;6,7
14;22;7;1;11;7,3
15;22;5;0;11;6,1
16;22;5;1;11;6,5
17;22;4;0;11;5,8
18;22;6;1;11;7,1
19;22;5;1;11;5,9
20;22;7;1;11;7
1;23;6;0;15;5
2;23;6;1;15;4,8
3;23;4;1;15;5,9
4;23;5;0;15;4,5
5;23;5;1;15;6,3
6;23;7;1;15;6
7;23;5;1;15;6,4
8;23;4;0;15;3,3
9;23;6;0;15;4,6
10;23;5;0;15;5,6
11;23;5;0;15;4,5
12;23;6;1;15;6,4
13;23;4;0;15;3,8
14;23;6;1;15;6,6
15;23;5;1;15;6,5
16;23;6;0;15;5,6
17;23;5;1;15;5,7
18;23;5;0;15;4,2
19;23;7;1;15;6,7
20;23;3;0;15;3,2
21;23;7;0;15;5,4
22;23;3;0;15;4,7
1;24;5;0;6;3,4
2;24;4;0;6;2,7
3;24;5;1;6;3,8
4;24;5;1;6;3,7
5;24;7;1;6;7,3
6;24;7;1;6;6,6
7;24;7;0;6;3
8;24;6;1;6;5,2
9;24;5;0;6;4,7
10;24;6;1;6;6,2
11;24;7;0;6;4,5
12;24;6;0;6;3,3
13;24;6;0;6;3,9
14;24;5;0;6;3,4
15;24;5;0;6;4,1
16;24;7;1;6;5,3
17;24;5;1;6;5,6
18;24;5;1;6;5,3
19;24;6;0;6;4,5
1;25;4;0;19;5,1
2;25;5;1;19;5,6
3;25;5;1;19;5,6
4;25;4;1;19;5,9
5;25;7;1;19;6,5
6;25;6;0;19;3,7
7;25;5;0;19;3,9
8;25;6;1;19;5,7
9;25;4;1;19;5,7
10;25;5;0;19;5,1
11;25;6;1;19;5,7
12;25;6;0;19;4,6
13;25;5;1;19;7
14;25;4;1;19;4,7
15;25;5;1;19;3,3
16;25;4;0;19;4
17;25;5;0;19;2,9
18;25;5;0;19;3,8
19;25;5;0;19;3,7
20;25;5;0;19;4,3
1;26;5;1;10;4,1
2;26;4;1;10;3,7
3;26;6;0;10;4,1
4;26;4;1;10;4,1
5;26;4;0;10;2,8
6;26;4;1;10;3,2
7;26;6;1;10;6
8;26;5;0;10;3,2
9;26;4;0;10;3,4
10;26;4;0;10;3,2
11;26;6;1;10;4,9
12;26;5;0;10;3,5
13;26;4;1;10;3,9
14;26;6;0;10;3,8
15;26;4;0;10;2,9
16;26;3;1;10;3,6
17;26;7;1;10;6,1
18;26;4;1;10;5,5
19;26;7;0;10;6,2
20;26;5;0;10;2,6
21;26;4;1;10;4,5
1;27;4;0;10;2,5
2;27;6;0;10;6
3;27;6;0;10;3,6
4;27;5;0;10;4,8
5;27;4;0;10;2,9
6;27;7;0;10;6,2
7;27;5;0;10;4
8;27;7;0;10;4,9
9;27;5;1;10;5,4
10;27;5;0;10;4,2
11;27;5;1;10;4,8
12;27;6;1;10;6,4
13;27;5;0;10;3,2
